"code","iso","country","PBD.raw.2000","PBD.raw.2005","PBD.raw.2010","PBD.raw.2016"
4,"AFG","Afghanistan",1658.71778175,1580.93251264,1417.28845319,1226.39802553
8,"ALB","Albania",93.7554166329,100.169203684,92.5546783905,83.1542308855
12,"DZA","Algeria",345.641648964,298.930593389,257.980727171,227.799977126
16,"ASM","American Samoa",38.4780494192,37.2415573114,34.5727784882,32.223276291
20,"AND","Andorra",53.2385962739,49.4464322373,44.0049699772,38.4110135303
24,"AGO","Angola",248.531296417,243.756430908,218.309618064,193.069480171
660,"AIA","Anguilla",NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",193.169461558,167.771194027,144.36658304,124.163628829
32,"ARG","Argentina",146.938587627,127.961154619,111.584806932,93.2994680918
51,"ARM","Armenia",87.1755185593,88.0525914486,82.4211555878,66.2144328485
533,"ABW","Aruba",NA,NA,NA,NA
36,"AUS","Australia",134.364938134,105.414750513,81.9849485356,68.0093526736
40,"AUT","Austria",50.1208367856,41.1398498366,35.0394677317,29.3650050239
31,"AZE","Azerbaijan",113.230369591,115.109961178,107.609708937,82.5380241812
44,"BHS","Bahamas",209.136427827,184.28987929,163.003650705,150.5678922
48,"BHR","Bahrain",347.697341397,267.21729273,195.014303629,157.338909931
50,"BGD","Bangladesh",520.066599971,574.765684202,557.864419842,492.449927042
52,"BRB","Barbados",140.507582887,115.941211792,100.948181247,90.2004901428
112,"BLR","Belarus",74.317965336,81.6424941313,74.9780836405,57.688564527
56,"BEL","Belgium",181.524817884,146.032843165,118.280943805,97.449391282
84,"BLZ","Belize",203.299441604,173.33047312,151.603314395,134.549990495
204,"BEN","Benin",292.733666046,297.147694745,293.440849401,277.7938744
60,"BMU","Bermuda",272.817545824,193.806954988,144.370952149,107.149385542
64,"BTN","Bhutan",356.865712082,332.441427104,303.645103283,277.276877712
68,"BOL","Bolivia",236.488185755,208.65448212,192.177544573,170.109273857
70,"BIH","Bosnia and Herzegovina",106.727512754,101.435347608,90.4754687997,81.6424109792
72,"BWA","Botswana",205.641794645,194.070121929,158.280608713,135.614292171
76,"BRA","Brazil",255.075980671,213.339964563,174.751427002,137.932085572
92,"VGB","British Virgin Islands",NA,NA,NA,NA
96,"BRN","Brunei Darussalam",78.4963395697,65.2540855144,53.1405698401,44.349641654
100,"BGR","Bulgaria",75.8971559536,73.2796051236,64.2671670883,54.8706975647
854,"BFA","Burkina Faso",279.649312433,295.137315322,296.301888162,282.44686916
108,"BDI","Burundi",383.352113005,339.573853093,309.160333338,293.853197613
116,"KHM","Cambodia",261.789914543,244.149161776,217.810655595,194.800829737
120,"CMR","Cameroon",171.662581416,177.700049739,168.629356039,156.058127746
124,"CAN","Canada",35.0544024547,27.6326821835,33.8142056933,28.9245679433
132,"CPV","Cape Verde",148.405463683,145.131669754,135.113478658,117.744645796
136,"CYM","Cayman Islands",NA,NA,NA,NA
140,"CAF","Central African Republic",353.623077465,361.865220759,349.641423294,336.801597677
148,"TCD","Chad",254.483428954,255.936402536,253.731501425,235.765583721
152,"CHL","Chile",29.8785307971,28.1051485847,26.3400833648,23.4700143393
156,"CHN","China",298.448480613,269.60803877,241.274425979,208.326290167
170,"COL","Colombia",152.37528495,131.736450787,112.808029508,92.1327395322
174,"COM","Comoros",213.768867718,190.612508799,178.323237673,165.241967376
184,"COK","Cook Islands",NA,NA,NA,NA
188,"CRI","Costa Rica",174.651041633,150.129310578,130.665188228,113.594606887
384,"CIV","Cote d'Ivoire",283.319634925,285.555182697,268.608448575,246.88180006
191,"HRV","Croatia",42.2313908567,41.4421332611,37.3809803722,33.1075886074
192,"CUB","Cuba",227.489559542,200.386149835,176.924464162,154.96663578
531,"CUW","Curacao",NA,NA,NA,NA
196,"CYP","Cyprus",130.787362767,110.18562406,84.9799177893,69.9692846922
203,"CZE","Czech Republic",33.4811666419,30.8625729072,26.4812035561,22.0718776038
180,"COD","Dem. Rep. Congo",188.039126566,197.482630114,203.125936633,190.305445324
208,"DNK","Denmark",58.8839613192,49.8509989127,40.1753167758,32.5399544476
262,"DJI","Djibouti",280.783413738,276.414301777,261.260323848,228.86857017
212,"DMA","Dominica",247.845011287,230.523541804,214.349520486,192.38716576
