"code","iso","country","HAD.raw.2000","HAD.raw.2005","HAD.raw.2010","HAD.raw.2016"
4,"AFG","Afghanistan",10392.2800797,9933.53382397,7717.52709967,6690.92846104
8,"ALB","Albania",1831.2389073,1382.06828433,811.50443003,574.121196092
12,"DZA","Algeria",154.844941978,56.7168797916,22.1398648075,8.71396442149
16,"ASM","American Samoa",791.427898222,657.129474959,514.910890044,382.908302373
20,"AND","Andorra",14.6395682826,11.0599222357,8.32504336301,6.48057849248
24,"AGO","Angola",5134.17203992,4193.1041676,3201.52262167,1906.0031014
660,"AIA","Anguilla",NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",72.8561564177,54.854815535,38.5975994612,25.730065075
32,"ARG","Argentina",146.587896343,107.364287793,73.2702084018,45.0924352138
51,"ARM","Armenia",1141.72361021,950.177367194,606.263408774,374.371191931
533,"ABW","Aruba",NA,NA,NA,NA
36,"AUS","Australia",6.29716443219,5.44295725501,3.67323840769,2.57130153048
40,"AUT","Austria",28.9340805554,19.5731699547,13.6084833047,9.07013481137
31,"AZE","Azerbaijan",2115.45730608,1220.25863912,838.778263255,590.280685243
44,"BHS","Bahamas",126.654391382,97.1285734317,77.6713579729,64.2804314109
48,"BHR","Bahrain",202.740578366,82.9974619763,41.6117097244,24.3932099887
50,"BGD","Bangladesh",4499.05412031,3929.52598467,3334.58443511,2653.35312111
52,"BRB","Barbados",3.95353025815,2.33182991111,1.45265976933,1.03487038977
112,"BLR","Belarus",197.099924932,137.467011224,68.447376398,35.4536522161
56,"BEL","Belgium",11.4374634105,8.45334510531,6.14505919642,4.3643224102
84,"BLZ","Belize",753.706957669,564.564823098,469.068485852,371.550912784
204,"BEN","Benin",5387.9984502,4544.79016433,4127.57744416,3589.87427154
60,"BMU","Bermuda",194.333278908,123.275195412,86.0381762692,57.9068080702
64,"BTN","Bhutan",3468.81689002,2293.85287606,1512.28389044,896.600738324
68,"BOL","Bolivia",1998.70711131,1499.86869761,1062.51870987,610.321301933
70,"BIH","Bosnia and Herzegovina",1488.57988641,1134.6240617,866.339269229,679.141781503
72,"BWA","Botswana",3070.60186058,2430.40540753,1549.17029849,940.556441159
76,"BRA","Brazil",493.018319557,318.707287639,185.769254368,95.1429988618
92,"VGB","British Virgin Islands",NA,NA,NA,NA
96,"BRN","Brunei Darussalam",8.64963615501,4.34717676576,2.36513590372,1.35990864374
100,"BGR","Bulgaria",567.953009198,478.306603962,357.434301748,259.848138269
854,"BFA","Burkina Faso",5853.88804585,5081.28502886,4537.1914695,4044.13481586
108,"BDI","Burundi",6480.55419033,5349.64687574,4489.10110326,4156.88683471
116,"KHM","Cambodia",6994.36309293,5657.18819767,4263.78706537,3213.64349743
120,"CMR","Cameroon",4602.28596902,4170.90808178,3957.43661524,3287.81543771
124,"CAN","Canada",2.91558068349,2.20613568779,1.5965021493,1.24880059875
132,"CPV","Cape Verde",1815.30668323,1521.88166464,1174.5899458,767.74240731
136,"CYM","Cayman Islands",NA,NA,NA,NA
140,"CAF","Central African Republic",7463.88920133,7032.63278607,6906.95902219,6130.99988881
148,"TCD","Chad",6336.45566734,5777.09437593,5556.61828598,4725.92297847
152,"CHL","Chile",213.885442927,127.199386692,77.4170116993,45.3592733004
156,"CHN","China",2823.7424655,2025.09987156,1390.08090179,838.001643391
170,"COL","Colombia",514.141287773,440.422192218,377.180100787,205.832128596
174,"COM","Comoros",4479.93637221,3434.06943458,3101.90379674,2530.77440009
184,"COK","Cook Islands",NA,NA,NA,NA
188,"CRI","Costa Rica",218.854950314,136.650767462,88.0227938676,61.4518751683
384,"CIV","Cote d'Ivoire",5204.04964004,4831.27472229,4420.63699828,3890.40928437
191,"HRV","Croatia",410.537108124,300.544218733,215.76422366,154.174185612
192,"CUB","Cuba",152.806437212,97.3861520236,63.2467830415,42.1014582195
531,"CUW","Curacao",NA,NA,NA,NA
196,"CYP","Cyprus",26.3391187044,17.1716166527,10.382134787,7.13487573034
203,"CZE","Czech Republic",71.4872430934,53.3314322066,38.7797588492,25.6616790274
180,"COD","Dem. Rep. Congo",4986.90561845,4465.21177783,4227.79515179,3659.66905778
208,"DNK","Denmark",9.10925115399,7.08103087872,5.02071560482,3.49313799982
262,"DJI","Djibouti",2169.7425676,1580.27292293,1292.41809472,880.604872102
212,"DMA","Dominica",389.439124491,267.412752823,190.197308425,130.073888289
214,"DOM","Dominican Republic",425.223117039,358.508601914,293.914015571,204.055832222
218,"ECU","Ecuador",417.182416159,245.3089445,147.45951882,80.256851971
818,"EGY","Egypt",126.885059731,52.8390482467,28.8053421695,12.2854620774
222,"SLV","El Salvador",1044.52907261,693.183901086,450.833184515,282.596124918
226,"GNQ","Equatorial Guinea",4516.19574896,2654.04709451,2148.01975701,1394.33250343
232,"ERI","Eritrea",4184.16587573,3495.38393883,2908.44602806,2206.10066785
233,"EST","Estonia",564.539710415,428.63037605,254.644508457,171.960001445
231,"ETH","Ethiopia",6352.77330752,5364.82899168,4298.8201079,3251.76142773
234,"FRO","Faeroe Islands",NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA
242,"FJI","Fiji",2107.09928765,1533.7555132,1163.61150634,835.250102811
246,"FIN","Finland",14.8691312345,9.85480034899,6.5384678598,4.12547709792
250,"FRA","France",10.8846462163,7.4332600466,5.21447617945,3.62226225525
254,"GUF","French Guiana",NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA
266,"GAB","Gabon",1778.60080956,1224.61623988,752.915222911,455.624131391
270,"GMB","Gambia",4008.11049642,3892.65920956,3526.68026215,3185.69108699
268,"GEO","Georgia",2055.21467336,1896.77643826,1564.18965731,1106.50824083
276,"DEU","Germany",26.487489338,20.0631621215,14.8554590492,10.4056046789
288,"GHA","Ghana",4081.86678715,3842.72776642,3422.44683384,2668.68785019
292,"GIB","Gibraltar",NA,NA,NA,NA
300,"GRC","Greece",28.1590887388,17.9784279538,12.0092082181,8.24130362474
304,"GRL","Greenland",142.950992125,113.411344382,71.8365235949,46.8524211574
308,"GRD","Grenada",337.029310204,194.062373435,126.563099784,81.9690065057
312,"GLP","Guadeloupe",NA,NA,NA,NA
316,"GUM","Guam",212.640688894,226.711906258,255.096097013,219.462717256
