"code","iso","country","UWD.raw.2000","UWD.raw.2005","UWD.raw.2010","UWD.raw.2016"
4,"AFG","Afghanistan",1778.65844188,1741.61965909,844.507477588,691.222678134
8,"ALB","Albania",68.8904696314,46.8258971672,41.099059109,40.0353847068
12,"DZA","Algeria",157.517062759,124.592001876,99.6824954288,81.4249853303
16,"ASM","American Samoa",131.582730972,129.365597209,133.74833036,133.041947221
20,"AND","Andorra",2.31211827174,2.47598412837,2.65618567254,2.67385199618
24,"AGO","Angola",10263.56816,6660.08237129,4099.04352193,2478.19024579
660,"AIA","Anguilla",NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",130.21407302,111.153252052,111.170368425,110.410835947
32,"ARG","Argentina",67.6867889582,46.903100966,39.0874149114,30.1362097033
51,"ARM","Armenia",220.977029375,100.234412185,59.5303282123,42.8943722014
533,"ABW","Aruba",NA,NA,NA,NA
36,"AUS","Australia",3.05152888562,3.76785187813,4.0487933775,4.27195000498
40,"AUT","Austria",5.52954931934,5.20335454641,4.58134666613,3.70484445587
31,"AZE","Azerbaijan",481.896689493,291.757352559,158.001153784,115.971590582
44,"BHS","Bahamas",103.721432664,90.9861575071,92.7233648212,97.5989128104
48,"BHR","Bahrain",87.0642842171,77.6102057981,68.3131730862,63.4353380798
50,"BGD","Bangladesh",1847.14324152,1249.06282228,839.293765556,585.368822672
52,"BRB","Barbados",97.1494130487,86.6118559782,86.3441848303,89.03241925
112,"BLR","Belarus",51.4493774032,32.079484652,26.8762403589,27.4347166393
56,"BEL","Belgium",3.95244713539,4.82805956241,5.10964197836,4.57871397193
84,"BLZ","Belize",306.208828133,225.269447975,196.515434407,177.330040334
204,"BEN","Benin",4090.4329422,3818.87687385,3854.86723984,2940.88147325
60,"BMU","Bermuda",74.6287364699,73.8612881775,77.865848177,81.4682749931
64,"BTN","Bhutan",1130.05067533,687.193118529,491.355165008,379.720311613
68,"BOL","Bolivia",819.094590617,595.439043643,333.823480926,193.990251172
70,"BIH","Bosnia and Herzegovina",39.3574677339,35.3403805626,32.647191247,33.0259576806
