"code","iso","country","NSR.raw.1961","NSR.raw.1962","NSR.raw.1963","NSR.raw.1964","NSR.raw.1965","NSR.raw.1966","NSR.raw.1967","NSR.raw.1968","NSR.raw.1969","NSR.raw.1970","NSR.raw.1971","NSR.raw.1972","NSR.raw.1973","NSR.raw.1974","NSR.raw.1975","NSR.raw.1976","NSR.raw.1977","NSR.raw.1978","NSR.raw.1979","NSR.raw.1980","NSR.raw.1981","NSR.raw.1982","NSR.raw.1983","NSR.raw.1984","NSR.raw.1985","NSR.raw.1986","NSR.raw.1987","NSR.raw.1988","NSR.raw.1989","NSR.raw.1990","NSR.raw.1991","NSR.raw.1992","NSR.raw.1993","NSR.raw.1994","NSR.raw.1995","NSR.raw.1996","NSR.raw.1997","NSR.raw.1998","NSR.raw.1999","NSR.raw.2000","NSR.raw.2001","NSR.raw.2002","NSR.raw.2003","NSR.raw.2004","NSR.raw.2005","NSR.raw.2006","NSR.raw.2007","NSR.raw.2008","NSR.raw.2009","NSR.raw.2010","NSR.raw.2011"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",4484.00728490017,4075.64912420014,4199.95087972531,3578.80074041555,4143.96745750552,3781.86724594245,4316.57604968508,6391.8684527971,5501.92899206575,6697.89233012433,8484.19538432007,8217.78817370701,8645.45117650659,8715.67205840963,8791.45594327996,9501.70923797328,10146.6852694377,14235.2207623098,13807.3992178208,13504.0705361005,14309.5603215966,14029.9930109457,14292.9051899262,15309.2849543547,14309.0155460137,14162.7475033373,13098.633806207,14010.738704424,15886.1983249223,16277.3211321024,11770.74500468,10070.1807659769,8319.05740782784,9971.37110396635,10303.728368976,9422.90105210704,7906.0071449601,11150.227628111,9402.30850418983,11413.646470798,11940.3224968695,21382.7839320934,20977.7947977528,20617.8622248276,20909.9168157584,18271.7047108252,19466.4660337883,15266.0273930317,16587.414111338,15279.0722794505,16736.9716342199
12,"DZA","Algeria",-138.714285341099,-671.528995379555,-571.485365883647,-179.675076119501,-393.51347987373,331.802218077861,-248.483427412124,-307.235789959754,79.462453684582,353.022370434127,1176.71286607455,1135.59963169124,1434.53458312478,1301.19658088057,78.9568028766648,540.783387963536,1253.49948703176,1257.82552667242,1178.7167479265,1355.70754933929,1035.80469724763,1074.92817765707,1636.62082850579,2178.49096182993,1572.27498288314,2264.67438361168,1647.18463614067,1779.53897589918,807.424334408348,1596.30823797606,-83.2444481671621,237.351059718356,2232.41692255516,2610.94340311177,56.3494498868974,-1107.43146100488,1799.98107481933,362.299288527627,1020.76176117769,2200.31451725434,580.497072280773,458.986352823029,-947.722833058909,1297.07729943187,-1164.16109546178,-229.703363741396,-111.541996474506,378.636808758833,-1227.40098662923,-234.548118269171,224.549232398134
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",-79.4216042966763,-56.2135422708711,-0.629289395664614,-35.2561911074505,47.84218190292,122.560184701067,185.643367142561,171.993373403378,39.9989217644813,109.461685041274,432.475046744518,484.301519412438,374.649158603875,242.481939186945,146.519589265507,170.257945993194,1051.25426363841,864.105839060527,1040.87026632709,1064.25109389732,942.78841376657,831.04156136533,897.474527395692,923.864160668612,1500.70253834606,958.292406872546,871.934608132724,950.782333586136,1242.10060637642,963.027599086764,800.802676034562,784.892145869944,754.247721797547,750.838317054764,763.613162219918,598.511769298207,694.751864517086,505.554680087665,573.330845642047,453.326285540016,295.006763424126,332.389045981442,347.626800903051,562.283946795728,300.807815942688,531.035690968708,462.436172012099,659.968589859421,297.060560701283,317.719840597299,472.861912422991
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
