code,iso,country,WST.raw.2016
4,AFG,Afghanistan,0
8,ALB,Albania,22
12,DZA,Algeria,53
16,ASM,American Samoa,99.7
20,AND,Andorra,98
24,AGO,Angola,0
660,AIA,Anguilla,NA
28,ATG,Antigua and Barbuda,NA
32,ARG,Argentina,11.8
51,ARM,Armenia,0
533,ABW,Aruba,NA
36,AUS,Australia,100
40,AUT,Austria,97.25
31,AZE,Azerbaijan,0
44,BHS,Bahamas,NA
48,BHR,Bahrain,79
50,BGD,Bangladesh,0
52,BRB,Barbados,NA
112,BLR,Belarus,0
56,BEL,Belgium,95
84,BLZ,Belize,15.1
204,BEN,Benin,0.4
60,BMU,Bermuda,5
64,BTN,Bhutan,0
68,BOL,Bolivia,11
70,BIH,Bosnia and Herzegovina,0
72,BWA,Botswana,5
76,BRA,Brazil,35
92,VGB,British Virgin Islands,24.5
96,BRN,Brunei Darussalam,NA
100,BGR,Bulgaria,76.33
854,BFA,Burkina Faso,0
108,BDI,Burundi,0
116,KHM,Cambodia,0
120,CMR,Cameroon,0
124,CAN,Canada,82
132,CPV,Cape Verde,100
136,CYM,Cayman Islands,NA
140,CAF,Central African Republic,0
148,TCD,Chad,0
152,CHL,Chile,0
156,CHN,China,0
170,COL,Colombia,23.1
174,COM,Comoros,NA
184,COK,Cook Islands,NA
188,CRI,Costa Rica,15.2
384,CIV,Cote d'Ivoire,5
191,HRV,Croatia,66.6
192,CUB,Cuba,0
531,CUW,Curacao,NA
196,CYP,Cyprus,50
203,CZE,Czech Republic,80
180,COD,Dem. Rep. Congo,0
208,DNK,Denmark,95.415
262,DJI,Djibouti,0
212,DMA,Dominica,13
214,DOM,Dominican Republic,48.7
218,ECU,Ecuador,0
818,EGY,Egypt,56.7
222,SLV,El Salvador,2.5
226,GNQ,Equatorial Guinea,5
232,ERI,Eritrea,0
233,EST,Estonia,87.23
231,ETH,Ethiopia,0
234,FRO,Faeroe Islands,NA
238,FLK,Falkland Islands,NA
242,FJI,Fiji,10
246,FIN,Finland,91.5
250,FRA,France,81.5
254,GUF,French Guiana,44
258,PYF,French Polynesia,NA
266,GAB,Gabon,0
270,GMB,Gambia,NA
268,GEO,Georgia,26
276,DEU,Germany,97
288,GHA,Ghana,20
292,GIB,Gibraltar,NA
300,GRC,Greece,92.03
304,GRL,Greenland,NA
308,GRD,Grenada,NA
312,GLP,Guadeloupe,38.9
316,GUM,Guam,NA
320,GTM,Guatemala,20
324,GIN,Guinea,11
624,GNB,Guinea-Bissau,0
328,GUY,Guyana,0
332,HTI,Haiti,0
336,VAT,Holy See,NA
340,HND,Honduras,5
344,HKG,Hong Kong,95
348,HUN,Hungary,72.76
352,ISL,Iceland,66
356,IND,India,19.2
360,IDN,Indonesia,1
364,IRN,Iran,10
368,IRQ,Iraq,27
372,IRL,Ireland,64.74
833,IMN,Isle of Man,NA
376,ISR,Israel,96.6
