"code","iso","country","CEH.raw.2005","CEH.raw.2006","CEH.raw.2007","CEH.raw.2008","CEH.raw.2009","CEH.raw.2010","CEH.raw.2011","CEH.raw.2012","CEH.raw.2013","CEH.raw.2014"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",26.154,25.7705,31.3794,0,1.1899,2.0447,7.3842,0,0,0
12,"DZA","Algeria",608.8729,624.5442,600.1951,599.3545,640.6606,548.5178,558.7899,552.2689,517.2753,507.9131
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",275.3406,262.7238,303.4952,333.3272,469.988,434.5873,394.3727,297.0103,282.9679,362.9059
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",309.8617,332.6988,379.6166,366.1292,361.5051,363.4152,388.099,400.1521,372.4853,393.8591
51,"ARM","Armenia",139.0241,138.9859,164.2884,165.4893,108.5436,95.4345,125.4492,177.5507,170.5486,200.1961
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",883.431,882.184,871.273,870.795,893.922,834.308,798.814,803.849,767.337,734.749
40,"AUT","Austria",222.926,217.89,204.648,188.1,168.177,188.101,201.073,164.458,163.191,151.976
31,"AZE","Azerbaijan",475.2305,461.447,529.5298,499.9428,469.0663,422.8432,446.41,482.1419,468.7942,460.2849
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",772.7122,793.2601,756.2897,769.5499,788.521,754.4453,754.2408,758.8107,759.7513,754.0351
50,"BGD","Bangladesh",554.4186,571.4922,579.1353,574.3879,573.1946,591.2062,569.4218,578.7626,582.039,586.6227
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",297.5185,297.8288,294.9487,305.1407,304.0931,294.2278,289.1337,280.8791,278.4965,277.3446
56,"BEL","Belgium",276.13,264.034,253.518,250.054,214.959,220.333,197.812,213.935,194.777,201.271
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",716.6075,704.9156,668.8182,685.8079,726.6094,726.94,724.1806,712.679,704.4335,697.1902
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",331.0731,327.9575,335.9885,376.9367,395.2339,431.5784,435.6931,428.5169,393.6823,413.502
70,"BIH","Bosnia and Herzegovina",796.3737,850.0905,998.4944,818.1749,791.7638,713.0666,937.6915,936.6632,764.3557,829.1463
72,"BWA","Botswana",1595.2414,1298.4578,1298.8901,1511.6686,1511.2793,1260,3297.68,2935.3343,1214.56,1587.4482
76,"BRA","Brazil",84.6521,81.7149,72.7561,90.5653,64.8935,87.2792,68.6852,99.5691,135.1466,160.1817
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",804.3272,843.52,742.8804,794.7558,792.6966,733.7848,720.3903,726.3394,619.9875,625.5557
100,"BGR","Bulgaria",462.056,456.7582,534.619,503.8745,478.3327,482.3269,523.865,479.7025,452.0588,454.7287
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",801.0415,804.6131,813.2599,828.7295,824.633,812.2012,801.0399,534.5851,379.1811,396.7986
120,"CMR","Cameroon",40.8756,83.5196,163.6225,162.1211,198.023,209.0758,200.4346,215.6414,230.4951,175.3892
124,"CAN","Canada",200.676,201.182,210.858,190.756,173.107,183.512,168.501,158.038,150.421,146.294
132,"CPV","Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",319.727,307.017,383.025,405.205,376.502,415.214,447.584,489.886,479.812,399.183
156,"CHN","China",800.8365,798.8893,770.0181,733.4795,724.1727,718.7175,726.0319,698.4902,678.7991,652.7068
170,"COL","Colombia",133.4523,128.8469,129.2264,109.0051,178.0374,180.693,105.6258,123.7648,165.5165,185.5679
